covered_entity_name,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,javax.faces.component.UIPanel@48c348d2,web_description,ingestion_time,source_file_path
Fair Oaks Ortho P.C.,VA,Healthcare Provider,1544,2026-02-02,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"High Point Treatment Center, Inc.",MA,Healthcare Provider,25832,2026-01-30,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"BAYADA Home Health Care, Inc.",NJ,Healthcare Provider,9526,2026-01-30,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Health and Hospital Corporation of Marion County,IN,Healthcare Provider,792,2026-01-30,Unauthorized Access/Disclosure,"Email, Laptop",No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Clinic Service Corporation,CO,Business Associate,82331,2026-01-28,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"CashFlow Solutions, LLC",PA,Healthcare Provider,1007,2026-01-28,Unauthorized Access/Disclosure,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Wound Technology Network, Inc.",FL,Healthcare Provider,139830,2026-01-28,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
WindRose Health Network,IN,Healthcare Provider,691,2026-01-27,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Central States Dermatology Services, LLC",IL,Healthcare Provider,4626,2026-01-26,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Pecan Tree Dental, PLLC",TX,Healthcare Provider,13300,2026-01-26,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Jefferson-Blount-St. Clair Mental Health Authority,AL,Healthcare Provider,30434,2026-01-23,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Precipio, Inc. ",CT,Healthcare Provider,501,2026-01-23,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"True RCM, a Rapid Care Transcription, Inc., Company",MD,Business Associate,1247,2026-01-20,Hacking/IT Incident,Desktop Computer,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Middlesex Sheriff's Office,MA,Healthcare Provider,501,2026-01-20,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
AdventHealth Daytona Beach ,FL,Healthcare Provider,821,2026-01-20,Loss,Paper/Films,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Benton County Health,OR,Healthcare Provider,1476,2026-01-16,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Central Texas MHMR Center dba Center for Life Resource ,TX,Healthcare Provider,501,2026-01-16,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Minnesota Department of Human Services,MN,Health Plan,303965,2026-01-16,Unauthorized Access/Disclosure,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Superior Care Plus LLC d/b/a Supportive Home Health LLC,OH,Healthcare Provider,1415,2026-01-16,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Administrators of the Tulane Educational Fund d/b/a Tulane University Medical Group,LA,Healthcare Provider,6556,2026-01-15,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
360 Dental PC,PA,Healthcare Provider,11273,2026-01-15,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Southern Immediate Care, LLC",AL,Healthcare Provider,7447,2026-01-15,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Florence County Commission on Alcohol & Drug Abuse – dba Circle Park Behavioral Health Services (“Circle Park”),SC,Healthcare Provider,7020,2026-01-14,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Pinnacle Holdings, LTD",PA,Business Associate,18313,2026-01-13,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"TMG Health, Inc.",TX,Business Associate,2076,2026-01-13,Unauthorized Access/Disclosure,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"FullBeauty Brands, Inc. Associate Benefits Plan",NY,Health Plan,4725,2026-01-13,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Avosina Healthcare Solutions,VA,Business Associate,44425,2026-01-10,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Home, Hope and Healing, Inc.",ME,Healthcare Provider,501,2026-01-09,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"The Center for Neuropsychology and Learning, PC ",MI,Healthcare Provider,3722,2026-01-09,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Central Ozarks Medical Center,MO,Healthcare Provider,11818,2026-01-09,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Devereux Foundation,PA,Healthcare Provider,501,2026-01-08,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"ABKSW PREFERRED HEALTH PARTNERS, PLLC d/b/a NORTH TEXAS PREFERRED HEALTH PARTNERS",TX,Healthcare Provider,2074,2026-01-08,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Methodist Homes of Alabama and Northwest Florida,AL,Healthcare Provider,1406,2026-01-06,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Pit River Health Service Inc.,CA,Healthcare Provider,1800,2026-01-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Iowa Health and Human Services,IA,Health Plan,3340,2026-01-06,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Texas Health and Human Services Commission,TX,Health Plan,68066,2026-01-05,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Mid Michigan Medical Billing Service, Inc.",MI,Business Associate,28185,2026-01-05,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Pines of Sarasota Healthcare, LLC",FL,Healthcare Provider,1258,2025-12-31,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Advanced Healthcare Professionals,TX,Healthcare Provider,800,2025-12-31,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Standards Home Health, Inc. ",TX,Healthcare Provider,6847,2025-12-31,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Andover Eye Associates,MA,Healthcare Provider,1638,2025-12-31,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Steel Encounters, Inc.",UT,Healthcare Provider,959,2025-12-31,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Advantage Capital Holdings LLC,UT,Health Plan,26343,2025-12-30,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Associated Radiologists of the Finger Lakes, P.C.",NY,Business Associate,501,2025-12-29,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Docs Medical Group, Inc. dba Pulse Urgent Care",CA,Healthcare Provider,4035,2025-12-28,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
CareOregon,OR,Health Plan,5473,2025-12-26,Unauthorized Access/Disclosure,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"BlueCross BlueShield of Tennessee, Inc. ",TN,Business Associate,780,2025-12-26,Unauthorized Access/Disclosure,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Glendale Obstetrics & Gynecology PCA,AZ,Healthcare Provider,501,2025-12-24,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
AllerVie Health ,TX,Healthcare Provider,80521,2025-12-23,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
HAP (Health Alliance Plan),MI,Health Plan,1059,2025-12-22,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Reproductive Medicine Associates of Michigan,MI,Healthcare Provider,501,2025-12-19,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Anesthesiology & Pain Consultants, LLC",LA,Healthcare Provider,538,2025-12-19,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Mitchell County Department of Social Services,NC,Healthcare Provider,501,2025-12-19,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Medical Center, LLP",GA,Healthcare Provider,32090,2025-12-19,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
North East Medical Services,CA,Healthcare Provider,91513,2025-12-18,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Excellent Home Care Services, LLC",NY,Healthcare Provider,16278,2025-12-17,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
FPMCM LLC,TN,Business Associate,2072,2025-12-15,Unauthorized Access/Disclosure,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"OCAT, LLC dba Evoke Wellness at Hilliard",OH,Healthcare Provider,1629,2025-12-12,Unauthorized Access/Disclosure,Electronic Medical Record,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Fieldtex Products, Inc.",NY,Business Associate,104071,2025-12-12,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Heywood Healthcare Inc. including Henry Heywood Memorial Hospital, Athol Memorial Hospital, and Heywood Medical Group, Inc. (“Heywood”)",MA,Healthcare Provider,500,2025-12-12,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Brevard Skin and Cancer Center,FL,Healthcare Provider,54570,2025-12-12,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Baltimore Medical System, Inc.",MA,Healthcare Provider,501,2025-12-12,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Centric Health,CA,Healthcare Provider,6855,2025-12-10,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Southern Oregon Neurosurgical and Spine Associates, PC",OR,Healthcare Provider,1000,2025-12-09,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Ochsner LSU Health – Regional Urology,LA,Healthcare Provider,4519,2025-12-09,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
TriCity Family Services,IL,Healthcare Provider,2511,2025-12-08,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Vida Y Salud-Health Systems, Inc.",TX,Healthcare Provider,35236,2025-12-08,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
AgeRight Clinical Services,OR,Healthcare Provider,4859,2025-12-05,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
NCH Corporation Employee Benefits Plan,TX,Health Plan,3098,2025-12-05,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Columbia Medical Practice,MD,Healthcare Provider,94131,2025-12-05,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Greater St. Louis Oral & Maxillofacial Surgery PC ,MO,Healthcare Provider,501,2025-12-04,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Fieldtex Products, Inc.",NY,Business Associate,5901,2025-12-03,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Fieldtex Products, Inc.",NY,Business Associate,9206,2025-12-03,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Fieldtex Products, Inc.",NY,Business Associate,20641,2025-12-03,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"MedStar Health, Inc.",MD,Healthcare Provider,64332,2025-12-03,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
ConvenientMD LLC,NH,Healthcare Provider,1332,2025-12-02,Unauthorized Access/Disclosure,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"West Texas Health, PLLC",TX,Business Associate,73720,2025-12-02,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Madison Healthcare Services,MN,Healthcare Provider,500,2025-12-02,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
FedEx Corporation Group Health Plan,TN,Health Plan,1066,2025-12-01,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Sports Medicine & Orthopaedics,RI,Healthcare Provider,4000,2025-11-30,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Cerenade,CA,Business Associate,987,2025-11-30,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Richmond Behavioral Health Authority,VA,Healthcare Provider,113232,2025-11-28,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Spindletop Center,TX,Healthcare Provider,88863,2025-11-28,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Henry Ford Health,MI,Healthcare Provider,1984,2025-11-26,Unauthorized Access/Disclosure,Desktop Computer,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Persante Health Care ,NJ,Business Associate,111815,2025-11-26,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Keystone Alliance, Inc.",IL,Business Associate,1021,2025-11-26,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Center for Urologic Care of Berks CO,PA,Healthcare Provider,543,2025-11-26,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Tanner Medical Center,GA,Healthcare Provider,1000,2025-11-25,Unauthorized Access/Disclosure,Electronic Medical Record,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Greater Meridian Health Clinic, Inc. ",MS,Healthcare Provider,4651,2025-11-24,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Davies, McFarland & Carroll LLC",PA,Business Associate,54712,2025-11-24,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"VITAS Hospice Services, LLC",FL,Healthcare Provider,319177,2025-11-24,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Millcreek Pediatrics,DE,Healthcare Provider,14095,2025-11-21,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"NS Support, LLC",ID,Healthcare Provider,92845,2025-11-21,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Delta Dental of Virginia,VA,Health Plan,126953,2025-11-21,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Nura PLLC,MN,Healthcare Provider,5207,2025-11-21,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Fieldtex Products, Inc.",NY,Business Associate,238615,2025-11-20,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Dr. Michael Kaplan DO PC DBA Long Island Weight Loss Institute,NY,Healthcare Provider,3426,2025-11-20,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Wyandot Behavioral Health Network,KS,Healthcare Provider,27174,2025-11-20,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Personic Management Company LLC,VA,Business Associate,10929,2025-11-19,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
County of Catawba,NC,Health Plan,500,2025-11-19,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
NAHGA Claim Services,ME,Health Plan,21834,2025-11-19,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Anchorage Neighborhood Health Center ,AK,Healthcare Provider,70555,2025-11-19,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Dermatology Associates of Concord,MA,Healthcare Provider,501,2025-11-18,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Marrs Ear, Nose & Throat, PA",FL,Healthcare Provider,6376,2025-11-18,Unauthorized Access/Disclosure,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Cary Pediatric Center, PA",NC,Healthcare Provider,25784,2025-11-17,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
St. John’s Riverside Hospital,NY,Healthcare Provider,2238,2025-11-14,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Morton Drug Company,WI,Healthcare Provider,40051,2025-11-10,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Steven J. Pearlman MD PC ,NY,Healthcare Provider,10182,2025-11-09,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Healthcare Therapy Services, Inc.",IN,Healthcare Provider,15027,2025-11-08,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Marshfield Clinic Health System ,WI,Healthcare Provider,35952,2025-11-07,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Loving and Living Center, PC dba Awakenings Center",NC,Healthcare Provider,17800,2025-11-07,Hacking/IT Incident,Electronic Medical Record,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
The Chase Group Employee Benefit Plan,NM,Health Plan,817,2025-11-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Archer Health,CA,Healthcare Provider,4285,2025-11-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Tampa Bay Treatment Associates,FL,Healthcare Provider,3682,2025-11-05,Theft,Electronic Medical Record,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Denton MHMR Center,TX,Healthcare Provider,108967,2025-11-05,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Tri Century Eye Care PC,PA,Healthcare Provider,200000,2025-10-31,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Expert MRI,CA,Healthcare Provider,209560,2025-10-31,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Judson Center,MI,Healthcare Provider,976,2025-10-31,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Beverly Hills Oncology Medical Group,CA,Healthcare Provider,57655,2025-10-31,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
