covered_entity_name,individuals_affected,type_of_breach,location_of_breached_information,breach_year,risk_level
"Berkshire Health Systems, Inc.",1421,Unauthorized Access/Disclosure,Electronic Medical Record,2025,Medium
The Center at Cordera,6057,Hacking/IT Incident,Network Server,2025,High
"Compass Counseling Services, LLC",5440,Hacking/IT Incident,Network Server,2025,High
"Alera Group, Inc.",155567,Hacking/IT Incident,Network Server,2025,High
"PhyNet Dermatology, LLC",1308,Hacking/IT Incident,Email,2025,High
"Northwest Denture Center, Inc.",19419,Hacking/IT Incident,Network Server,2025,High
Doctors’ Memorial Hospital,500,Hacking/IT Incident,Network Server,2025,High
"Nova Recovery Center, LLC d/b/a Nova Recovery Center",6242,Hacking/IT Incident,Network Server,2025,High
McKenzie Memorial Hospital,58839,Hacking/IT Incident,Network Server,2025,High
Gastroenterology Consultants of South Texas,44579,Hacking/IT Incident,Network Server,2025,High
Kettering Adventist Healthcare,1695382,Hacking/IT Incident,Network Server,2025,High
OrthoAtlanta LLC,626,Hacking/IT Incident,Email,2025,High
"Infinite Services, Inc.",31742,Hacking/IT Incident,Network Server,2025,High
Dr. Michael Bilikas and Associates d.b.a. 32 Pearls,23517,Hacking/IT Incident,Network Server,2025,High
Equilibria Mental Health Services,3232,Hacking/IT Incident,Email,2025,High
"Keys Pathology Associates, PA",20000,Hacking/IT Incident,Network Server,2025,High
The Brien Center for Mental Health and Substance Abuse Services,5427,Hacking/IT Incident,Network Server,2025,High
Human Development Services of Westchester,501,Hacking/IT Incident,Email,2025,High
Self Regional Healthcare,26696,Hacking/IT Incident,Network Server,2025,High
Clinica Family Health Services,47593,Hacking/IT Incident,Network Server,2025,High
Williamsburg Area Medical Assistance Corporation d/b/a Olde Towne Medical and Dental Center (OTMDC),2567,Hacking/IT Incident,Network Server,2025,High
Regency Oaks,2008,Hacking/IT Incident,Email,2025,High
Freedom Plaza Senior Living,4847,Hacking/IT Incident,Email,2025,High
Freedom Square of Seminole,3473,Hacking/IT Incident,Email,2025,High
"Picis Clinical Solutions, Inc. d/b/a Medstreaming",8840,Hacking/IT Incident,Network Server,2025,High
Covenant Health,7864,Hacking/IT Incident,Network Server,2025,High
Anne Arundel Dermatology,1905000,Hacking/IT Incident,Network Server,2025,High
Mountain Laurel Dermatology,3324,Hacking/IT Incident,Network Server,2025,High
Naper Grove Vision Care,501,Hacking/IT Incident,Network Server,2025,High
"Florida Lung, Asthma & Sleep Specialists (FLASS)",10000,Hacking/IT Incident,Network Server,2025,High
Complete Care Rehab LLC,4764,Hacking/IT Incident,Network Server,2025,High
K&E Advanced Dentisrty,1700,Hacking/IT Incident,Email,2025,High
City of Franklin,3233,Hacking/IT Incident,Network Server,2025,High
"Zumpano Patricios, P.A.",279275,Hacking/IT Incident,Network Server,2025,High
Cierant Corporation,232506,Hacking/IT Incident,Network Server,2025,High
"Arbor Associates, Inc.",17040,Hacking/IT Incident,Network Server,2025,High
Urology Associates of Charleston,2060,Hacking/IT Incident,Email,2025,High
"Radiology Associates of Richmond, Inc.",1419091,Hacking/IT Incident,Network Server,2025,High
Texas Center for Infectious Disease Associates,19481,Hacking/IT Incident,Network Server,2025,High
Centers for Medicare & Medicaid Services,107154,Hacking/IT Incident,Network Server,2025,High
Clinical Practices of the University of Pennsylvania,1432,Unauthorized Access/Disclosure,Paper/Films,2025,Medium
Southwest Urology,7214,Hacking/IT Incident,Email,2025,High
"Radiation Oncology Network of Southern California, LLC",12944,Hacking/IT Incident,Email,2025,High
PDCM Insurance,501,Hacking/IT Incident,Network Server,2025,High
PET Imaging of Tulsa,3159,Hacking/IT Incident,Email,2025,High
PET Imaging of The Woodlands,2978,Hacking/IT Incident,Email,2025,High
PET Imaging of Northern Colorado,4824,Hacking/IT Incident,Email,2025,High
PET Imaging of Dallas Northeast,1935,Hacking/IT Incident,Email,2025,High
Orange County Radiation Oncology Medical Group,1911,Hacking/IT Incident,Email,2025,High
"Lake City Cancer Care, LLC",15142,Hacking/IT Incident,Email,2025,High
Integrated Oncology Network,4174,Hacking/IT Incident,Email,2025,High
Fairbanks Urology,4289,Hacking/IT Incident,Email,2025,High
Denali Biomedical,2413,Hacking/IT Incident,Email,2025,High
Horizon Healthcare RCM,210901,Hacking/IT Incident,Network Server,2025,High
California Cancer Associates for Research and Excellence – San Diego,638,Hacking/IT Incident,Email,2025,High
California Cancer Associates for Research and Excellence – High Desert,17250,Hacking/IT Incident,Email,2025,High
Bardmoor Cancer Center,991,Hacking/IT Incident,Email,2025,High
Amalgamated Meat Cutters and Retail Food Store Employees Union Local 342 Health Care Fund,56615,Hacking/IT Incident,Network Server,2025,High
"Jordan Drug, Inc.",4947,Hacking/IT Incident,Network Server,2025,High
Clement Manor,16046,Hacking/IT Incident,Network Server,2025,High
McLaren Health Care,743131,Hacking/IT Incident,Network Server,2025,High
Minneapolis VA Medical Center,1099,Unauthorized Access/Disclosure,Paper/Films,2025,Medium
Mainline Health Systems Inc,101104,Hacking/IT Incident,Network Server,2025,High
Blue Shield of California,673,Unauthorized Access/Disclosure,Email,2025,Medium
Esse Health,23671,Hacking/IT Incident,Network Server,2025,High
"Los Angeles County Developmental Services Fdn., Inc. dba Frank D. Lanterman Regional Ctr.",19000,Hacking/IT Incident,Email,2025,High
"Retina Associates of Cleveland, Inc.",3604,Hacking/IT Incident,Email,2025,High
Harbor,2703,Hacking/IT Incident,Email,2025,High
Skin Care Specialty Physicians,1038,Hacking/IT Incident,Email,2025,High
Marquette County Medical Care Facility,1499,Hacking/IT Incident,Email,2025,High
Winkler County Hospital District,637,Unauthorized Access/Disclosure,Email,2025,Medium
Broadwest Specialty Surgical Center,536,Hacking/IT Incident,Network Server,2025,High
"Decisely Insurance Services, LLC",537603,Hacking/IT Incident,"Network Server, Other",2025,High
Central Kentucky Radiology,166953,Hacking/IT Incident,Network Server,2025,High
Diversified Services Enterprises,501,Hacking/IT Incident,Network Server,2025,High
Elmore County,931,Hacking/IT Incident,Email,2025,High
AltaMed Health Services Corporation,4530,Unauthorized Access/Disclosure,Email,2025,Medium
Mount Rogers Community Services,38191,Hacking/IT Incident,Network Server,2025,High
Imperial Beach Community Clinic,10358,Hacking/IT Incident,Network Server,2025,High
Kelley Drye & Warren LLP,771,Hacking/IT Incident,Network Server,2025,High
Rural Health Services,36542,Hacking/IT Incident,Network Server,2025,High
Clarkston Chiropractic Sports & Wellness,2757,Hacking/IT Incident,Network Server,2025,High
"Repay Management Services, LLC",606,Hacking/IT Incident,Network Server,2025,High
"Episource, LLC",6725572,Hacking/IT Incident,Network Server,2025,High
Blue Shield of California,1543,Unauthorized Access/Disclosure,Other,2025,Medium
Sharp Community Medical Group,26976,Hacking/IT Incident,Network Server,2025,High
Public Health Trust of Miami Dade County DBA Jackson Health System,2599,Unauthorized Access/Disclosure,Electronic Medical Record,2025,Medium
Sharp HealthCare,500,Hacking/IT Incident,Network Server,2025,High
"Huron Regional Medical Center, Inc.",25398,Hacking/IT Incident,Network Server,2025,High
Centivo Corporation,630,Unauthorized Access/Disclosure,Email,2025,Medium
NYC Health + Hospitals,5728,Hacking/IT Incident,Network Server,2025,High
"Sensata Technologies, Inc. Health and Welfare Benefit Plan",15630,Hacking/IT Incident,Network Server,2025,High
Renkim Corporation,105518,Hacking/IT Incident,Network Server,2025,High
Cumberland County Hospital Association,36659,Hacking/IT Incident,Other,2025,High
Upper Dublin Family Dentistry,5000,Hacking/IT Incident,Network Server,2025,High
Oliver Street Dermatology Management LLC,13717,Hacking/IT Incident,Network Server,2025,High
"Providia Home Care, LLC dba Preferred Care Home Health Services",38401,Hacking/IT Incident,Email,2025,High
Horizon Blue Cross Blue Shield NJ,781,Hacking/IT Incident,Network Server,2025,High
Next Step Healthcare LLC,12090,Hacking/IT Incident,Network Server,2025,High
Missouri Department of Conservation,10260,Hacking/IT Incident,Network Server,2025,High
Northwestern Community Services Board,21856,Hacking/IT Incident,Network Server,2025,High
"Gateway Community Services, Inc.",34498,Hacking/IT Incident,Network Server,2025,High
The Smith Institute for Urology,2263,Unauthorized Access/Disclosure,Desktop Computer,2025,Medium
"Covenant Surgical Partners, Inc.",88609,Hacking/IT Incident,Network Server,2025,High
"Mary B. Toporcer, MD, P.C.",501,Hacking/IT Incident,Email,2025,High
Cahaba Center for Mental Health,15085,Hacking/IT Incident,Email,2025,High
NHPP Physical Medicine and Rehabilitation,1353,Unauthorized Access/Disclosure,Other,2025,Medium
"Sports Physical Therapy, Occupational Therapy and Rehabilitation Services of the North Shore, P.L.L.C",6195,Unauthorized Access/Disclosure,Other,2025,Medium
North Shore University Hospital Sleep Disorders Center,13332,Unauthorized Access/Disclosure,Other,2025,Medium
The Cooper Health System,57412,Hacking/IT Incident,Network Server,2025,High
Access2Day Health,4908,Hacking/IT Incident,Email,2025,High
Community Hospital of Anaconda,21243,Hacking/IT Incident,Network Server,2025,High
Insulet Corporation,841,Unauthorized Access/Disclosure,Network Server,2025,Medium
"Mercy Surgical Dressing Group, Inc.",4159,Hacking/IT Incident,Network Server,2025,High
"Compassion Health Care, Inc.",23282,Hacking/IT Incident,Network Server,2025,High
"Harbin Clinic, LLC",176149,Hacking/IT Incident,Network Server,2025,High
Weiser Valley Hospital District dba Weiser Memorial Hospital,59990,Hacking/IT Incident,Network Server,2025,High
"HopeHealth, Inc.",5823,Hacking/IT Incident,Network Server,2025,High
"CareNexa, LLC, doing business as Molecular Testing Labs",7711,Hacking/IT Incident,Network Server,2025,High
Hunter Health Clinic,28431,Hacking/IT Incident,Email,2025,High
Anne Arundel County Department of Health,500,Hacking/IT Incident,Network Server,2025,High
"Doctors Hospital at Renaissance, LTD",501,Hacking/IT Incident,Network Server,2025,High
CVS Caremark,2599,Unauthorized Access/Disclosure,Paper/Films,2025,Medium
Washington Gastroenterology,501,Hacking/IT Incident,Network Server,2025,High
Blue Cross Blue Shield of Texas,593,Unauthorized Access/Disclosure,Paper/Films,2025,Medium
"Tri-City Cardiology Consultants, P.C.",22753,Hacking/IT Incident,Network Server,2025,High
Allied Services Division Welfare Fund,5727,Hacking/IT Incident,Email,2025,High
The Carpenter Health Network,878,Hacking/IT Incident,Network Server,2025,High
"Minnesota Orthodontics and Dentofacial Orthopedics, P.A.",501,Hacking/IT Incident,Network Server,2025,High
"Monongalia Health System, Inc.",4895,Unauthorized Access/Disclosure,Email,2025,Medium
CardioVascular Health Clinic,501,Hacking/IT Incident,Network Server,2025,High
"Absolute Dental Group, LLC",1223635,Hacking/IT Incident,Network Server,2025,High
DermCare Management,501,Hacking/IT Incident,Network Server,2025,High
"Anesthesia Associates of Morristown, P.A.",34675,Improper Disposal,Paper/Films,2025,Medium
Canby Clinic,549,Unauthorized Access/Disclosure,Email,2025,Medium
"Berkeley Research Group, LLC",500,Hacking/IT Incident,Network Server,2025,High
Family Christian Health Center,12500,Hacking/IT Incident,Network Server,2025,High
"Physician Wound Solutions, LLC dba Apollo Medical Supply",3561,Unauthorized Access/Disclosure,Network Server,2025,Medium
Ascension Health,437329,Hacking/IT Incident,Network Server,2025,High
"Maximus, Inc.",4955,Unauthorized Access/Disclosure,Network Server,2025,Medium
Carlton County Public Health and Human Services,3502,Hacking/IT Incident,Email,2025,High
Brainard Surgery Center LLC,1820,Hacking/IT Incident,Network Server,2025,High
Palo Verde Hospital,594,Hacking/IT Incident,Network Server,2025,High
"Drug and Alcohol Treatment Services, Inc.",22215,Hacking/IT Incident,Network Server,2025,High
Cache Valley Ear Nose & Throat,26469,Hacking/IT Incident,Network Server,2025,High
Orthopaedic Specialists of Connecticut,22541,Hacking/IT Incident,Network Server,2025,High
Icon Family Healthcare LLC,1800,Unauthorized Access/Disclosure,Email,2025,Medium
Onsite Mammography,357265,Hacking/IT Incident,Email,2025,High
"90 Degree Benefits, Inc. – St. Paul",1268,Hacking/IT Incident,Email,2025,High
HEALTH AND WELLNESS OF TEXAS,500,Unauthorized Access/Disclosure,"Electronic Medical Record, Email",2025,Medium
Recovery Epicenter Foundation,800,Unauthorized Access/Disclosure,Network Server,2025,Medium
"The City of Long Beach, CA",258191,Hacking/IT Incident,Network Server,2025,High
"Bell Ambulance, Inc.",237830,Hacking/IT Incident,Network Server,2025,High
Health Care Service Corporation,2944,Unauthorized Access/Disclosure,Other,2025,Medium
Blue Cross and Blue Shield of Texas,12086,Unauthorized Access/Disclosure,Other,2025,Medium
Blue Cross and Blue Shield of Oklahoma,1020,Unauthorized Access/Disclosure,Other,2025,Medium
Blue Cross and Blue Shield of Illinois,6903,Unauthorized Access/Disclosure,Other,2025,Medium
Summit Healthcare Medical Associates,1861,Unauthorized Access/Disclosure,Electronic Medical Record,2025,Medium
"Altior Healthcare, LLC",1002,Hacking/IT Incident,Email,2025,High
Endue Software,118028,Hacking/IT Incident,Network Server,2025,High
The Gatesworth Senior Living St. Louis,31124,Hacking/IT Incident,Network Server,2025,High
Parc Provence Memory Care Facility,13954,Hacking/IT Incident,Network Server,2025,High
"Kelly & Associates Insurance Group, Inc.",553332,Hacking/IT Incident,Network Server,2025,High
Alabama Ophthalmology Associates,131576,Hacking/IT Incident,"Desktop Computer, Network Server",2025,High
"Friendship House, Inc.",501,Hacking/IT Incident,Network Server,2025,High
Loretto Hospital,501,Hacking/IT Incident,Network Server,2025,High
"Newburgh Healthcare Residential Center, Inc.",700,Hacking/IT Incident,Network Server,2025,High
Dallas County MHMR dba Metrocare Services,553,Unauthorized Access/Disclosure,"Email, Network Server",2025,Medium
Hamilton County Government,14081,Hacking/IT Incident,Network Server,2025,High
Dameron Hospital,210706,Hacking/IT Incident,Network Server,2025,High
"Allegany Council on Alcoholism & Substance Abuse, Inc.",696,Hacking/IT Incident,Email,2025,High
Health Services LLC,75906,Hacking/IT Incident,Network Server,2025,High
Central District Health Department of Nebraska,58519,Hacking/IT Incident,Network Server,2025,High
"Family Centers, Inc.",12142,Hacking/IT Incident,Network Server,2025,High
North Hudson Community Action Corporation,501,Hacking/IT Incident,Network Server,2025,High
"Community Dental Care, Inc.",134903,Hacking/IT Incident,Network Server,2025,High
Baptist Hospitals of Southeast Texas,501,Hacking/IT Incident,Network Server,2025,High
Frederick Health,934326,Hacking/IT Incident,Network Server,2025,High
SimonMed Imaging,500,Hacking/IT Incident,Network Server,2025,High
Western Wayne Family Physicians,62000,Hacking/IT Incident,Network Server,2025,High
Concord Orthopaedics,72815,Hacking/IT Incident,Network Server,2025,High
"James J. Lynch, MD Ltd. dba Swift Institute",13430,Hacking/IT Incident,Network Server,2025,High
Bigfork Valley Hospital,8496,Hacking/IT Incident,Email,2025,High
MedicareCompareUSA,5782,Hacking/IT Incident,Email,2025,High
"MedRevenu, LLC",17775,Hacking/IT Incident,Network Server,2025,High
"Mid Florida Primary Care, PA",16435,Hacking/IT Incident,Network Server,2025,High
AmeriHealth Caritas Louisiana,1552,Unauthorized Access/Disclosure,"Network Server, Other",2025,Medium
"Fyzical Acquisition Holdings, LLC",43045,Hacking/IT Incident,Email,2025,High
Millennium Home Health Care,4743,Hacking/IT Incident,Network Server,2025,High
"The Pavilion at HealthPark, LLC dba Park Royal Hospital",9349,Hacking/IT Incident,Email,2025,High
Presbyterian Health Plan,7100,Hacking/IT Incident,Email,2025,High
Lena Pope Home Inc.,3523,Hacking/IT Incident,Email,2025,High
Klickitat Valley Health,26339,Hacking/IT Incident,Network Server,2025,High
"Welts, White, & Fontaine PC",500,Hacking/IT Incident,Network Server,2025,High
"CDHA Management, LLC and Spark DSO, LLC dba Chord Specialty Dental Partners",173430,Hacking/IT Incident,Email,2025,High
Baylor Scott & White Texas Spine & Joint Hospital,1640,Hacking/IT Incident,Email,2025,High
Columbia Eye Clinic,500,Hacking/IT Incident,Network Server,2025,High
"Nice Healthcare Management Company, Inc",10000,Hacking/IT Incident,Network Server,2025,High
SCLARC,722,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",2025,Low
Fort Wayne Medical Education Program,28502,Hacking/IT Incident,Network Server,2025,High
"Madison County, MS",6082,Hacking/IT Incident,Email,2025,High
"Hillcrest Convalescent Center, Inc.",106194,Hacking/IT Incident,Network Server,2025,High
"Liberty Resources, Inc.",103711,Hacking/IT Incident,Network Server,2025,High
Manchester Rehabilitation and Healthcare Center,5415,Hacking/IT Incident,Network Server,2025,High
Community Care Alliance,114975,Hacking/IT Incident,Network Server,2025,High
Total Medical Imaging,27000,Unauthorized Access/Disclosure,Network Server,2025,Medium
"Gaylord Hospital, Inc",62232,Hacking/IT Incident,Network Server,2025,High
"Southeast Series of Lockton Companies, LLC (Lockton)",1124727,Hacking/IT Incident,Network Server,2025,High
Kronick Moskovitz Tiedemann & Girard,2511,Hacking/IT Incident,Network Server,2025,High
"CEI Vision Partners, LLC",10841,Hacking/IT Incident,Network Server,2025,High
"East Hawaii Rehab, Inc. DBA Lehua Physical Therapy and Rehab",8472,Theft,"Other, Other Portable Electronic Device, Paper/Films",2025,Low
Lake Washington Vascular,21534,Hacking/IT Incident,Network Server,2025,High
Consultants in Pain Medicine,1124,Hacking/IT Incident,Network Server,2025,High
"Spring Management OK, LLC",2494,Hacking/IT Incident,Network Server,2025,High
"Restorix Health, Inc.",38553,Unauthorized Access/Disclosure,Email,2025,Medium
Cornerstones of Care,2771,Hacking/IT Incident,Email,2025,High
"Children's Dental Center at Preston Trail, P.C. d/b/a Park Place Pediatric Dentistry (Arlington, TX)",1690,Theft,Laptop,2025,Low
"Somnia, Inc.",19069,Hacking/IT Incident,Email,2025,High
UNITED BACKCARE PS dba Pacific Rehabilitation Centers,18900,Hacking/IT Incident,Network Server,2025,High
Columbus Division of Fire,736,Hacking/IT Incident,Network Server,2025,High
"CPS Solutions, LLC",500,Hacking/IT Incident,Email,2025,High
"Blue & Co., LLC",228999,Hacking/IT Incident,Network Server,2025,High
"U.S. HEALTHWORKS-SMMPP, L.C.",10673,Hacking/IT Incident,Network Server,2025,High
"Primary Health-SMMPP, L.C.",67567,Hacking/IT Incident,Network Server,2025,High
St. Marys NDS LLC,11715,Hacking/IT Incident,Network Server,2025,High
"VectraRx Mail Pharmacy Services, LLC",109383,Hacking/IT Incident,Network Server,2025,High
"Escambia Community Clinics, Inc. dba Community Health Northwest Florida",143969,Hacking/IT Incident,Network Server,2025,High
"ARC Community Services, Inc.",501,Hacking/IT Incident,Network Server,2025,High
"Primary Health Services Center, Inc.",17202,Hacking/IT Incident,Network Server,2025,High
"PIH Health, Inc.",2947264,Hacking/IT Incident,Network Server,2025,High
Mental Health Association Inc.,12633,Unauthorized Access/Disclosure,Network Server,2025,Medium
Methodist Homes of Alabama and Northwest Florida,908,Hacking/IT Incident,Network Server,2025,High
"Community Health Center, Inc.",1060936,Hacking/IT Incident,"Electronic Medical Record, Network Server",2025,High
Spring River Mental Health & Wellness,3250,Hacking/IT Incident,Network Server,2025,High
"Benefits Management Group, Inc.",501,Hacking/IT Incident,Network Server,2025,High
"Aprendamos Intervention Team, P.A.",1916,Unauthorized Access/Disclosure,Email,2025,Medium
Inlet Health dba Communicare,3771,Hacking/IT Incident,Network Server,2025,High
Apex Custom Software,1500,Hacking/IT Incident,Network Server,2025,High
"University Diagnostic Medical Imaging, PC",138080,Hacking/IT Incident,Network Server,2025,High
"Holdrege Memorial Homes, Inc.",1446,Hacking/IT Incident,Network Server,2025,High
Behavioral Health Resources,49213,Hacking/IT Incident,Network Server,2025,High
Allegheny Health Network Home Medical Equipment LLC and Allegheny Health Network Home Infusion LLC,292773,Hacking/IT Incident,Network Server,2025,High
"Asheville Eye Associates, PLLC",204984,Hacking/IT Incident,Network Server,2025,High
"Alpine Ears, Nose & Throat, P.L.L.C.",65648,Unauthorized Access/Disclosure,Network Server,2025,Medium
Community Treatment Solutions,950,Hacking/IT Incident,Network Server,2025,High
Mid America Physician Services,104513,Hacking/IT Incident,Network Server,2025,High
"Newport Harbor Pathology Medical Group, Inc.",119341,Hacking/IT Incident,Network Server,2025,High
Samaritan Counseling Center of the Fox Valley,956,Hacking/IT Incident,Email,2025,High
"BayMark Health Services, Inc.",3170,Hacking/IT Incident,Network Server,2025,High
Eastern Idaho Public Health,759,Unauthorized Access/Disclosure,Electronic Medical Record,2025,Medium
Medusind Inc.,701475,Hacking/IT Incident,Network Server,2025,High
"Pediatric Home Respiratory Services, LLC d/b/a Pediatric Home Service",41792,Hacking/IT Incident,Network Server,2025,High
North Los Angeles County Regional Center,500,Hacking/IT Incident,Network Server,2025,High
"Ingham County Medical Care Facility, d/b/a Dobie Road",3078,Hacking/IT Incident,Electronic Medical Record,2025,High
Buffalo Surgery Center,64000,Hacking/IT Incident,Network Server,2025,High
The Plastic Surgery Center,64813,Hacking/IT Incident,Network Server,2025,High
Watsonville Community Hospital,30312,Hacking/IT Incident,Network Server,2024,High
"Legacy Treatment Services, Inc.",29898,Hacking/IT Incident,Network Server,2024,High
"Tycon Medical Systems, Inc.",112847,Hacking/IT Incident,Network Server,2024,High
Omaha Surgical Center,1110,Hacking/IT Incident,Email,2024,High
Dragonfly Health,501,Hacking/IT Incident,Email,2024,High
Polaris Endeavors,4552,Hacking/IT Incident,Network Server,2024,High
Khalil Foundation (DBA Khalil Center),1153,Unauthorized Access/Disclosure,Network Server,2024,Medium
"Effortless Office Enterprises, LLC",3112,Hacking/IT Incident,Network Server,2024,High
"HealthEquity, Inc.",1549,Hacking/IT Incident,Network Server,2024,High
"PracticeSuite, Inc.",13000,Hacking/IT Incident,Network Server,2024,High
"Regional Care, Inc.",225728,Hacking/IT Incident,Network Server,2024,High
Kitsap Mental Health Services,500,Hacking/IT Incident,Network Server,2024,High
Teton Orthopaedics,13409,Hacking/IT Incident,Network Server,2024,High
Northwest Asthma and Allergy Center,1000,Hacking/IT Incident,Email,2024,High
"El Paso Healthcare System, Ltd. d/b/a Las Palmas Del Sol Healthcare",1854,Unauthorized Access/Disclosure,Electronic Medical Record,2024,Medium
Community Connections,18949,Hacking/IT Incident,Network Server,2024,High
River Region Cardiology,48600,Hacking/IT Incident,Network Server,2024,High
Texas Tech University Health Sciences Center El Paso,815000,Hacking/IT Incident,Network Server,2024,High
Texas Tech University Health Sciences Center,650000,Hacking/IT Incident,Network Server,2024,High
Citadel of Northbrook,2155,Hacking/IT Incident,"Electronic Medical Record, Network Server",2024,High
"American Addiction Centers, Inc.",410747,Hacking/IT Incident,Network Server,2024,High
Conceptions Reproductive Associates of Colorado,80000,Hacking/IT Incident,Network Server,2024,High
Lubbock County Hospital District,1461776,Hacking/IT Incident,Network Server,2024,High
"East Central Missouri Behavioral Health Services, Inc.",20000,Hacking/IT Incident,Network Server,2024,High
Laboratory Services Cooperative,501,Hacking/IT Incident,Network Server,2024,High
Terrace of Hialeah,1177,Hacking/IT Incident,Network Server,2024,High
"Dolton Nursing & Rehab, LLC",1559,Hacking/IT Incident,"Electronic Medical Record, Network Server",2024,High
"ESHA, Inc.",76922,Hacking/IT Incident,Network Server,2024,High
ASPEN HEALTHCARE SERVICES INC,7195,Hacking/IT Incident,Electronic Medical Record,2024,High
Rocky Mountain Gastroenterology Associates PLLC,366491,Hacking/IT Incident,Network Server,2024,High
"Radiologic Medical Services, P.C.",56902,Hacking/IT Incident,Email,2024,High
Humboldt Independent Practice Association (Humboldt IPA),500,Hacking/IT Incident,Email,2024,High
Huron Inc. Health Plan,750,Unauthorized Access/Disclosure,Network Server,2024,Medium
Great Plains Regional Medical Center,133149,Hacking/IT Incident,Network Server,2024,High
"Mohawk Valley Cardiology, P.C.",4973,Unauthorized Access/Disclosure,Other,2024,Medium
"Northeast Professional Home Care, Inc.",648,Hacking/IT Incident,Email,2024,High
"Brain & Eye Connection Vision Clinic, PC",2207,Hacking/IT Incident,Network Server,2024,High
"Hawaii Radiologic Associates, Ltd.",23205,Hacking/IT Incident,Network Server,2024,High
Gandara Mental Health Center,20024,Hacking/IT Incident,Network Server,2024,High
"Northeast Spine and Sports Medicine, LLC",6866,Hacking/IT Incident,Network Server,2024,High
Mystic Valley Elder Services - Business Associate,2402,Hacking/IT Incident,Network Server,2024,High
Clay Platte Family Medicine,53916,Hacking/IT Incident,Network Server,2024,High
"Advanced Recovery Equipment & Supplies, LLC",56000,Hacking/IT Incident,Network Server,2024,High
Detroit Wayne Integrated Health Network,3347,Hacking/IT Incident,Laptop,2024,High
RRCA Accounts Management Inc.,115837,Hacking/IT Incident,"Desktop Computer, Network Server",2024,High
"Summit Pathology and Summit Pathology Laboratories, Inc.",1813538,Hacking/IT Incident,Network Server,2024,High
"Ad Valorem Records, Inc.",590,Unauthorized Access/Disclosure,Paper/Films,2024,Medium
Wilmington Community Clinic,11601,Hacking/IT Incident,Network Server,2024,High
"TheraCom, L.L.C.",9271,Hacking/IT Incident,Network Server,2024,High
Schneider Regional Medical Center,1570,Hacking/IT Incident,Network Server,2024,High
"Ciox Health LLC, d/b/a Datavant Group",320702,Hacking/IT Incident,Email,2024,High
"ATSG, Inc",909469,Hacking/IT Incident,Network Server,2024,High
Omni Family Health,468344,Hacking/IT Incident,Network Server,2024,High
"Dr. Daniel J. Leeman, M.D.",50000,Hacking/IT Incident,Network Server,2024,High
Muskogee City County Enhanced 911 Trust Authority,180000,Hacking/IT Incident,Network Server,2024,High
"Jacobsen Construction Co., Inc. Health Plan",2127,Hacking/IT Incident,Network Server,2024,High
"Southern Bone & Joint Specialists, PA (“Southern Bone”)",7162,Hacking/IT Incident,Email,2024,High
Maryville Academy,500,Hacking/IT Incident,Network Server,2024,High
Atrium Health,32120,Hacking/IT Incident,Email,2024,High
"Nationwide Recovery Services, Inc.",501,Hacking/IT Incident,Network Server,2024,High
Welcome Health,597,Hacking/IT Incident,Email,2024,High
"EngageMED, Inc",249297,Hacking/IT Incident,Network Server,2024,High
"CODAC Inc dba CODAC Behavioral Health and CODAC Healthcare, LLC",9592,Hacking/IT Incident,Network Server,2024,High
Blue Cross and Blue Shield of North Carolina,972,Hacking/IT Incident,Network Server,2024,High
Pomona Community Health Center dba ParkTree Community Health Center,40964,Hacking/IT Incident,Network Server,2024,High
"Excelsior Orthopaedics, LLC",292913,Hacking/IT Incident,Network Server,2024,High
"VeriSource Services, Inc.",112726,Hacking/IT Incident,Network Server,2024,High
"Acadian Ambulance Service, Inc.",2896985,Hacking/IT Incident,Network Server,2024,High
"Contents Trader, Inc.",27329,Unauthorized Access/Disclosure,Network Server,2024,Medium
"Kerber, Eck & Braeckel LLP",134918,Hacking/IT Incident,Network Server,2024,High
"Specialty Networks, Inc.",411037,Hacking/IT Incident,Network Server,2024,High
"Turning Point of Central California, Inc.",53737,Hacking/IT Incident,Network Server,2024,High
"HealthEquity, Inc.",4300000,Hacking/IT Incident,Network Server,2024,High
Pemiscot Memorial Health System,33279,Unauthorized Access/Disclosure,Electronic Medical Record,2024,Medium
"Calibrated Healthcare, LLC",6890,Hacking/IT Incident,Network Server,2024,High
Alabama Cardiovascular Group,280534,Hacking/IT Incident,Network Server,2024,High
Wayne Memorial Hospital,2500,Hacking/IT Incident,Network Server,2024,High
Roseland Community Hospital Association,500,Hacking/IT Incident,Network Server,2024,High
Frilot L.L.C.,1448,Hacking/IT Incident,Network Server,2024,High
Deer Oaks Behavioral Health,171871,Hacking/IT Incident,Network Server,2024,High
Delta County Memorial Hospital District (Delta Health),148363,Hacking/IT Incident,Network Server,2024,High
United of Omaha Life Insurance Company,107894,Hacking/IT Incident,Email,2024,High
Surgery Center of Mid Florida,48684,Hacking/IT Incident,Network Server,2024,High
Sutton Dental Arts,4109,Hacking/IT Incident,Network Server,2024,High
"EMS Department for the Kansas City, Kansas Fire Department",501,Hacking/IT Incident,Network Server,2024,High
"Community Counseling of Bristol County, Inc.",44991,Hacking/IT Incident,Network Server,2024,High
"Change Healthcare, Inc.",192700000,Hacking/IT Incident,Network Server,2024,High
Fairfax Radiological Consultants,3512,Hacking/IT Incident,Network Server,2024,High
