covered_entity_name,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,risk_level
"Loving and Living Center, PC dba Awakenings Center",NC,Healthcare Provider,17800,2025-11-07,Hacking/IT Incident,Electronic Medical Record,High
"MedRevenu, LLC",CA,Business Associate,17775,2025-03-21,Hacking/IT Incident,Network Server,High
California Cancer Associates for Research and Excellence – High Desert,CA,Healthcare Provider,17250,2025-06-27,Hacking/IT Incident,Email,High
"Primary Health Services Center, Inc.",LA,Healthcare Provider,17202,2025-02-02,Hacking/IT Incident,Network Server,High
"Arbor Associates, Inc.",MI,Business Associate,17040,2025-07-03,Hacking/IT Incident,Network Server,High
Omni Healthcare Financial Holdings,NC,Business Associate,16852,2024-05-18,Hacking/IT Incident,Network Server,High
"Mid Florida Primary Care, PA",FL,Healthcare Provider,16435,2025-03-21,Hacking/IT Incident,Network Server,High
"Excellent Home Care Services, LLC",NY,Healthcare Provider,16278,2025-12-17,Hacking/IT Incident,Email,High
Clement Manor,WI,Healthcare Provider,16046,2025-06-25,Hacking/IT Incident,Network Server,High
"Sensata Technologies, Inc. Health and Welfare Benefit Plan",MA,Health Plan,15630,2025-06-05,Hacking/IT Incident,Network Server,High
"The Lash Group, LLC",PA,Business Associate,15196,2024-06-21,Hacking/IT Incident,Network Server,High
"Lake City Cancer Care, LLC",FL,Healthcare Provider,15142,2025-06-27,Hacking/IT Incident,Email,High
Cahaba Center for Mental Health,AL,Healthcare Provider,15085,2025-05-27,Hacking/IT Incident,Email,High
"Healthcare Therapy Services, Inc.",IN,Healthcare Provider,15027,2025-11-08,Hacking/IT Incident,Email,High
Longevity Health Plan,FL,Health Plan,15000,2026-03-04,Hacking/IT Incident,Network Server,High
Manhattan Retirement Foundation d/b/a Meadowlark Hills,KS,Healthcare Provider,14442,2026-02-26,Hacking/IT Incident,Network Server,High
"Westminster Village Greenwood, Inc.",IN,Healthcare Provider,14386,2025-08-04,Hacking/IT Incident,Network Server,High
Millcreek Pediatrics,DE,Healthcare Provider,14095,2025-11-21,Hacking/IT Incident,Network Server,High
Hamilton County Government,TN,Healthcare Provider,14081,2025-04-03,Hacking/IT Incident,Network Server,High
Parc Provence Memory Care Facility,MO,Healthcare Provider,13954,2025-04-11,Hacking/IT Incident,Network Server,High
Jackson Hospital and Clinic,AL,Healthcare Provider,13910,2026-02-27,Hacking/IT Incident,Network Server,High
Oliver Street Dermatology Management LLC,TX,Business Associate,13717,2025-05-30,Hacking/IT Incident,Network Server,High
"James J. Lynch, MD Ltd. dba Swift Institute",NV,Healthcare Provider,13430,2025-03-25,Hacking/IT Incident,Network Server,High
Teton Orthopaedics,PA,Healthcare Provider,13409,2024-12-16,Hacking/IT Incident,Network Server,High
"Pecan Tree Dental, PLLC",TX,Healthcare Provider,13300,2026-01-26,Hacking/IT Incident,Network Server,High
"Pacific Imaging Management, LLC",CA,Healthcare Provider,13158,2025-08-25,Hacking/IT Incident,Email,High
People Encouraging People,MD,Healthcare Provider,13083,2025-09-19,Hacking/IT Incident,Network Server,High
"PracticeSuite, Inc.",FL,Business Associate,13000,2024-12-17,Hacking/IT Incident,Network Server,High
"Radiation Oncology Network of Southern California, LLC",CA,Healthcare Provider,12944,2025-06-27,Hacking/IT Incident,Email,High
Family Christian Health Center,IL,Healthcare Provider,12500,2025-04-30,Hacking/IT Incident,Network Server,High
"Family Centers, Inc.",CT,Healthcare Provider,12142,2025-03-31,Hacking/IT Incident,Network Server,High
Next Step Healthcare LLC,MA,Healthcare Provider,12090,2025-05-30,Hacking/IT Incident,Network Server,High
Susan B. Allen Memorial Hospital,KS,Healthcare Provider,11866,2025-09-25,Hacking/IT Incident,"Desktop Computer, Network Server",High
Central Ozarks Medical Center,MO,Healthcare Provider,11818,2026-01-09,Hacking/IT Incident,Network Server,High
"Couve Healthcare Consulting, LLC DBA Evergreen Healthcare Group",WA,Business Associate,11795,2026-02-24,Hacking/IT Incident,Electronic Medical Record,High
St. Marys NDS LLC,AZ,Business Associate,11715,2025-02-06,Hacking/IT Incident,Network Server,High
Wilmington Community Clinic,CA,Healthcare Provider,11601,2024-10-11,Hacking/IT Incident,Network Server,High
"City of St. Joseph, MO Health Department",MO,Healthcare Provider,11538,2025-09-22,Hacking/IT Incident,Network Server,High
Orthopaedic Institute of Western Kentucky,KY,Healthcare Provider,11474,2026-02-27,Hacking/IT Incident,Network Server,High
360 Dental PC,PA,Healthcare Provider,11273,2026-01-15,Hacking/IT Incident,Network Server,High
"Mission City Community Network, Inc.",CA,Healthcare Provider,11016,2025-08-09,Hacking/IT Incident,Network Server,High
Triad Radiology Associates,NC,Healthcare Provider,11011,2026-02-06,Hacking/IT Incident,Email,High
Personic Management Company LLC,VA,Business Associate,10929,2025-11-19,Hacking/IT Incident,Network Server,High
"CEI Vision Partners, LLC",MO,Business Associate,10841,2025-02-28,Hacking/IT Incident,Network Server,High
Premier Health Partners and wholly owned covered entities listed in description section below,OH,Healthcare Provider,10833,2023-10-12,Hacking/IT Incident,Network Server,High
Community Alliance Rehabilitation Services,NE,Healthcare Provider,10750,2024-06-07,Hacking/IT Incident,Network Server,High
"U.S. HEALTHWORKS-SMMPP, L.C.",AZ,Business Associate,10673,2025-02-06,Hacking/IT Incident,Network Server,High
Cedar Valley Hospice,IA,Healthcare Provider,10666,2026-03-06,Hacking/IT Incident,Network Server,High
Imperial Beach Community Clinic,CA,Healthcare Provider,10358,2025-06-12,Hacking/IT Incident,Network Server,High
Missouri Department of Conservation,MO,Health Plan,10260,2025-05-30,Hacking/IT Incident,Network Server,High
Steven J. Pearlman MD PC,NY,Healthcare Provider,10182,2025-11-09,Hacking/IT Incident,Network Server,High
Marathon County Special Education,WI,Healthcare Provider,10079,2023-12-20,Hacking/IT Incident,Email,High
"Nice Healthcare Management Company, Inc",MN,Healthcare Provider,10000,2025-03-10,Hacking/IT Incident,Network Server,High
Good Samaritan Health Center,GA,Healthcare Provider,10000,2026-03-16,Hacking/IT Incident,Network Server,High
"Florida Lung, Asthma & Sleep Specialists (FLASS)",FL,Healthcare Provider,10000,2025-07-09,Hacking/IT Incident,Network Server,High
"Lake City Cancer Care, LLC",FL,Healthcare Provider,9980,2025-08-15,Hacking/IT Incident,Network Server,High
College Hometown Pharmacy,NY,Healthcare Provider,9742,2025-08-25,Hacking/IT Incident,Network Server,High
"CODAC Inc dba CODAC Behavioral Health and CODAC Healthcare, LLC",RI,Healthcare Provider,9592,2024-08-27,Hacking/IT Incident,Network Server,High
Physicians to Children & Adolescents,KY,Healthcare Provider,9536,2025-10-24,Hacking/IT Incident,Network Server,High
"BAYADA Home Health Care, Inc.",NJ,Healthcare Provider,9526,2026-01-30,Hacking/IT Incident,Network Server,High
"The Pavilion at HealthPark, LLC dba Park Royal Hospital",FL,Healthcare Provider,9349,2025-03-18,Hacking/IT Incident,Email,High
The Center for Advanced Eye Care,ME,Healthcare Provider,9300,2026-02-20,Hacking/IT Incident,"Network Server, Other",High
"TheraCom, L.L.C.",PA,Healthcare Provider,9271,2024-10-08,Hacking/IT Incident,Network Server,High
"Fieldtex Products, Inc.",NY,Business Associate,9206,2025-12-03,Hacking/IT Incident,Network Server,High
Amedisys,LA,Healthcare Provider,9111,2026-03-26,Hacking/IT Incident,Network Server,High
"Michael R. Schwartz, MD Inc.",CA,Healthcare Provider,9080,2025-10-23,Hacking/IT Incident,Desktop Computer,High
Waterford Surgical Center,MI,Healthcare Provider,9000,2026-03-30,Hacking/IT Incident,Network Server,High
Deaconess Health System,IN,Healthcare Provider,8941,2026-03-20,Hacking/IT Incident,Network Server,High
Tieu Dental Corporation,CA,Healthcare Provider,8918,2026-03-05,Hacking/IT Incident,Network Server,High
"Picis Clinical Solutions, Inc. d/b/a Medstreaming",MA,Business Associate,8840,2025-07-11,Hacking/IT Incident,Network Server,High
LHC Group,LA,Healthcare Provider,8644,2026-03-26,Hacking/IT Incident,Network Server,High
Bigfork Valley Hospital,MN,Healthcare Provider,8496,2025-03-25,Hacking/IT Incident,Email,High
Trusteed Plan Services Corporation,WA,Business Associate,7977,2025-09-17,Hacking/IT Incident,Network Server,High
Covenant Health,MA,Business Associate,7864,2025-07-11,Hacking/IT Incident,Network Server,High
"CareNexa, LLC, doing business as Molecular Testing Labs",WA,Healthcare Provider,7711,2025-05-15,Hacking/IT Incident,Network Server,High
"Southern Immediate Care, LLC",AL,Healthcare Provider,7447,2026-01-15,Hacking/IT Incident,Email,High
Southwest Urology,OH,Healthcare Provider,7214,2025-06-27,Hacking/IT Incident,Email,High
ASPEN HEALTHCARE SERVICES INC,TX,Healthcare Provider,7195,2024-11-15,Hacking/IT Incident,Electronic Medical Record,High
"Southern Bone & Joint Specialists, PA (“Southern Bone”)",MS,Healthcare Provider,7162,2024-09-17,Hacking/IT Incident,Email,High
Presbyterian Health Plan,NM,Health Plan,7100,2025-03-18,Hacking/IT Incident,Email,High
Florence County Commission on Alcohol & Drug Abuse – dba Circle Park Behavioral Health Services (“Circle Park”),SC,Healthcare Provider,7020,2026-01-14,Hacking/IT Incident,Email,High
South Coast Pediatrics,CA,Healthcare Provider,7000,2025-08-05,Hacking/IT Incident,Network Server,High
"Calibrated Healthcare, LLC",CA,Business Associate,6890,2024-08-02,Hacking/IT Incident,Network Server,High
"Northeast Spine and Sports Medicine, LLC",NJ,Healthcare Provider,6866,2024-10-24,Hacking/IT Incident,Network Server,High
Centric Health,CA,Healthcare Provider,6855,2025-12-10,Hacking/IT Incident,"Electronic Medical Record, Network Server",High
"Standards Home Health, Inc.",TX,Healthcare Provider,6847,2025-12-31,Hacking/IT Incident,Email,High
Saint Anthony Hospital,IL,Healthcare Provider,6679,2025-09-12,Hacking/IT Incident,Email,High
"River City Eye Care, LLC",OR,Healthcare Provider,6588,2025-10-16,Hacking/IT Incident,Network Server,High
Administrators of the Tulane Educational Fund d/b/a Tulane University Medical Group,LA,Healthcare Provider,6556,2026-01-15,Hacking/IT Incident,Email,High
North Oaks Health System,LA,Healthcare Provider,6243,2025-09-02,Hacking/IT Incident,Email,High
"Nova Recovery Center, LLC d/b/a Nova Recovery Center",TX,Healthcare Provider,6242,2025-07-24,Hacking/IT Incident,Network Server,High
Coastal Skin Surgery & Dermatology,FL,Healthcare Provider,6173,2026-03-17,Hacking/IT Incident,Network Server,High
Continental Casualty Company (CNA),IL,Health Plan,6086,2026-03-23,Hacking/IT Incident,Network Server,High
"Madison County, MS",MS,Health Plan,6082,2025-03-05,Hacking/IT Incident,Email,High
The Center at Cordera,CO,Healthcare Provider,6057,2025-07-29,Hacking/IT Incident,Network Server,High
"Fieldtex Products, Inc.",NY,Business Associate,5901,2025-12-03,Hacking/IT Incident,Network Server,High
Springfield Hospital,VT,Healthcare Provider,5892,2026-04-10,Hacking/IT Incident,Email,High
"HopeHealth, Inc.",SC,Healthcare Provider,5823,2025-05-15,Hacking/IT Incident,Network Server,High
Complete Eye Care dba Orem Eye Clinic,UT,Healthcare Provider,5800,2026-03-19,Hacking/IT Incident,"Network Server, Other",High
MedicareCompareUSA,WA,Business Associate,5782,2025-03-21,Hacking/IT Incident,Email,High
College Parkside Pharmacy,NY,Healthcare Provider,5736,2025-08-25,Hacking/IT Incident,Network Server,High
NYC Health + Hospitals,NY,Healthcare Provider,5728,2025-06-06,Hacking/IT Incident,Network Server,High
Allied Services Division Welfare Fund,IL,Health Plan,5727,2025-05-07,Hacking/IT Incident,Email,High
"Assisted Living Pharmacy Service, LLC",WI,Healthcare Provider,5590,2025-08-25,Hacking/IT Incident,Network Server,High
"Compass Counseling Services, LLC",FL,Healthcare Provider,5440,2025-07-29,Hacking/IT Incident,Network Server,High
The Brien Center for Mental Health and Substance Abuse Services,MA,Healthcare Provider,5427,2025-07-18,Hacking/IT Incident,Network Server,High
Manchester Rehabilitation and Healthcare Center,CT,Healthcare Provider,5415,2025-03-03,Hacking/IT Incident,Network Server,High
illumifin Corporation,MN,Business Associate,5385,2026-03-10,Hacking/IT Incident,Network Server,High
Northwoods Surgery Center,MN,Healthcare Provider,5385,2026-04-29,Hacking/IT Incident,Network Server,High
Nura PLLC,MN,Healthcare Provider,5207,2025-11-21,Hacking/IT Incident,Email,High
NYC Health + Hospitals,NY,Healthcare Provider,5086,2026-03-10,Hacking/IT Incident,Network Server,High
"Cumberland Heights Foundation, Inc.",TN,Healthcare Provider,5078,2024-04-19,Hacking/IT Incident,Email,High
County of Murray dba Murray County Medical Center,MN,Healthcare Provider,5073,2026-03-06,Hacking/IT Incident,Email,High
Vail Summit Orthopaedics,CO,Healthcare Provider,5044,2025-07-31,Hacking/IT Incident,Email,High
Upper Dublin Family Dentistry,PA,Healthcare Provider,5000,2025-05-30,Hacking/IT Incident,Network Server,High
"Jordan Drug, Inc.",KY,Healthcare Provider,4947,2025-06-26,Hacking/IT Incident,Network Server,High
Access2Day Health,LA,Business Associate,4908,2025-05-23,Hacking/IT Incident,Email,High
AgeRight Clinical Services,OR,Healthcare Provider,4859,2025-12-05,Hacking/IT Incident,Network Server,High
Freedom Plaza Senior Living,FL,Healthcare Provider,4847,2025-07-11,Hacking/IT Incident,Email,High
PET Imaging of Northern Colorado,CO,Healthcare Provider,4824,2025-06-27,Hacking/IT Incident,Email,High
Reimagine Network,CA,Healthcare Provider,4799,2025-08-29,Hacking/IT Incident,Network Server,High
Complete Care Rehab LLC,MI,Healthcare Provider,4764,2025-07-08,Hacking/IT Incident,Network Server,High
Millennium Home Health Care,OK,Healthcare Provider,4743,2025-03-19,Hacking/IT Incident,Network Server,High
"FullBeauty Brands, Inc. Associate Benefits Plan",NY,Health Plan,4725,2026-01-13,Hacking/IT Incident,Network Server,High
Greater Boston Urology,MA,Healthcare Provider,4717,2026-02-28,Hacking/IT Incident,Email,High
"David A. Nover, M.D., P.C.",PA,Healthcare Provider,4703,2025-07-31,Hacking/IT Incident,Network Server,High
"Greater Meridian Health Clinic, Inc.",MS,Healthcare Provider,4651,2025-11-24,Hacking/IT Incident,Network Server,High
"Nephrology Associates Medical Group, Inc",CA,Healthcare Provider,4631,2026-02-27,Hacking/IT Incident,Email,High
"Central States Dermatology Services, LLC",IL,Healthcare Provider,4626,2026-01-26,Hacking/IT Incident,Network Server,High
VPS Medical PLLC,PA,Healthcare Provider,4600,2026-02-13,Hacking/IT Incident,Network Server,High
Polaris Endeavors,FL,Healthcare Provider,4552,2024-12-24,Hacking/IT Incident,Network Server,High
Ochsner LSU Health – Regional Urology,LA,Healthcare Provider,4519,2025-12-09,Hacking/IT Incident,Network Server,High
Fairbanks Urology,AK,Healthcare Provider,4289,2025-06-27,Hacking/IT Incident,Email,High
Archer Health,CA,Healthcare Provider,4285,2025-11-06,Hacking/IT Incident,Network Server,High
Austin Plastic and Reconstructive Surgery,TX,Healthcare Provider,4266,2026-03-30,Hacking/IT Incident,Network Server,High
Central Ohio Urology Group,OH,Healthcare Provider,4234,2026-03-12,Hacking/IT Incident,Network Server,High
Health Management Systems of America,MI,Healthcare Provider,4213,2025-10-27,Hacking/IT Incident,Email,High
Integrated Oncology Network,TN,Business Associate,4174,2025-06-27,Hacking/IT Incident,Email,High
"Mercy Surgical Dressing Group, Inc.",PA,Business Associate,4159,2025-05-16,Hacking/IT Incident,Network Server,High
Sutton Dental Arts,OR,Healthcare Provider,4109,2024-07-22,Hacking/IT Incident,Network Server,High
"Docs Medical Group, Inc. dba Pulse Urgent Care",CA,Healthcare Provider,4035,2025-12-28,Hacking/IT Incident,Network Server,High
Precision Endodontics of Raleigh,NC,Healthcare Provider,4022,2025-08-05,Hacking/IT Incident,Email,High
Sports Medicine & Orthopaedics,RI,Healthcare Provider,4000,2025-11-30,Hacking/IT Incident,Network Server,High
A Path of Care Home Health and Hospice,OK,Healthcare Provider,3849,2026-03-13,Hacking/IT Incident,Network Server,High
Inlet Health dba Communicare,KY,Healthcare Provider,3771,2025-01-22,Hacking/IT Incident,Network Server,High
"The Center for Neuropsychology and Learning, PC",MI,Healthcare Provider,3722,2026-01-09,Hacking/IT Incident,Network Server,High
Lennox International Inc.,TX,Health Plan,3709,2026-04-17,Hacking/IT Incident,Network Server,High
"Bloom Circle, Inc. d/b/a Lena Health",TX,Business Associate,3651,2026-03-13,Hacking/IT Incident,Network Server,High
"Retina Associates of Cleveland, Inc.",OH,Healthcare Provider,3604,2025-06-20,Hacking/IT Incident,Email,High
Dr. Doug's Pediatric Dentistry,UT,Healthcare Provider,3590,2025-08-11,Hacking/IT Incident,Email,High
Twin Cities Pain Clinic,MN,Healthcare Provider,3572,2025-09-04,Hacking/IT Incident,Email,High
"Carrollton Ear, Nose and Throat, PC",GA,Healthcare Provider,3569,2025-08-29,Hacking/IT Incident,Network Server,High
Lena Pope Home Inc.,TX,Healthcare Provider,3523,2025-03-17,Hacking/IT Incident,Email,High
Fairfax Radiological Consultants,VA,Healthcare Provider,3512,2024-07-12,Hacking/IT Incident,Network Server,High
Carlton County Public Health and Human Services,MN,Healthcare Provider,3502,2025-04-25,Hacking/IT Incident,Email,High
Freedom Square of Seminole,FL,Healthcare Provider,3473,2025-07-11,Hacking/IT Incident,Email,High
Dr. Michael Kaplan DO PC DBA Long Island Weight Loss Institute,NY,Healthcare Provider,3426,2025-11-20,Hacking/IT Incident,Network Server,High
Detroit Wayne Integrated Health Network,MI,Healthcare Provider,3347,2024-10-18,Hacking/IT Incident,Laptop,High
"Center for Disability Services, Inc.",NY,Healthcare Provider,3343,2025-08-08,Hacking/IT Incident,Email,High
Iowa Health and Human Services,IA,Health Plan,3340,2026-01-06,Hacking/IT Incident,Network Server,High
Mountain Laurel Dermatology,NC,Healthcare Provider,3324,2025-07-10,Hacking/IT Incident,Network Server,High
Spring River Mental Health & Wellness,KS,Healthcare Provider,3250,2025-01-24,Hacking/IT Incident,Network Server,High
City of Franklin,WI,Healthcare Provider,3233,2025-07-03,Hacking/IT Incident,Network Server,High
Equilibria Mental Health Services,PA,Healthcare Provider,3232,2025-07-20,Hacking/IT Incident,Email,High
"Interventional Pain Center, PLLC",TN,Healthcare Provider,3171,2026-03-31,Hacking/IT Incident,Email,High
"BayMark Health Services, Inc.",TX,Business Associate,3170,2025-01-08,Hacking/IT Incident,Network Server,High
PET Imaging of Tulsa,OK,Healthcare Provider,3159,2025-06-27,Hacking/IT Incident,Email,High
Easterseals Northeast Indiana,IN,Healthcare Provider,3158,2026-02-16,Hacking/IT Incident,Network Server,High
"Effortless Office Enterprises, LLC",NV,Business Associate,3112,2024-12-20,Hacking/IT Incident,Network Server,High
"AmerisourceBergen Specialty Group, LLC",PA,Healthcare Provider,3102,2024-05-31,Hacking/IT Incident,Network Server,High
NCH Corporation Employee Benefits Plan,TX,Health Plan,3098,2025-12-05,Hacking/IT Incident,Network Server,High
"Ingham County Medical Care Facility, d/b/a Dobie Road",MI,Healthcare Provider,3078,2025-01-05,Hacking/IT Incident,Electronic Medical Record,High
The South Alabama Regional Planning Commission,AL,Business Associate,3043,2026-03-18,Hacking/IT Incident,Network Server,High
PET Imaging of The Woodlands,TX,Healthcare Provider,2978,2025-06-27,Hacking/IT Incident,Email,High
Anthony L. Jordan Health Corporation,NY,Healthcare Provider,2974,2025-08-29,Hacking/IT Incident,Email,High
Cornerstones of Care,MO,Healthcare Provider,2771,2025-02-14,Hacking/IT Incident,Email,High
Clarkston Chiropractic Sports & Wellness,MI,Healthcare Provider,2757,2025-06-11,Hacking/IT Incident,Network Server,High
Harbor,OH,Healthcare Provider,2703,2025-06-20,Hacking/IT Incident,Email,High
Intercommunity Action Inc.,PA,Healthcare Provider,2680,2025-09-26,Hacking/IT Incident,Network Server,High
Williamsburg Area Medical Assistance Corporation d/b/a Olde Towne Medical and Dental Center (OTMDC),VA,Healthcare Provider,2567,2025-07-13,Hacking/IT Incident,Network Server,High
Kronick Moskovitz Tiedemann & Girard,CA,Business Associate,2511,2025-02-28,Hacking/IT Incident,Network Server,High
TriCity Family Services,IL,Healthcare Provider,2511,2025-12-08,Hacking/IT Incident,Network Server,High
"Apex Spine & Neurosurgery, LLC",GA,Healthcare Provider,2500,2026-02-06,Hacking/IT Incident,Network Server,High
Wayne Memorial Hospital,GA,Healthcare Provider,2500,2024-08-02,Hacking/IT Incident,Network Server,High
"Spring Management OK, LLC",OK,Business Associate,2494,2025-02-14,Hacking/IT Incident,Network Server,High
Arkansas Primary Care Clinic,AR,Healthcare Provider,2491,2025-08-20,Hacking/IT Incident,Network Server,High
"Franklin Dermatology Group, PLC",TN,Healthcare Provider,2457,2025-09-11,Hacking/IT Incident,Network Server,High
zizzl llc,WI,Business Associate,2416,2025-08-22,Hacking/IT Incident,Email,High
Denali Biomedical,AK,Healthcare Provider,2413,2025-06-27,Hacking/IT Incident,Email,High
Mystic Valley Elder Services - Business Associate,MA,Business Associate,2402,2024-10-22,Hacking/IT Incident,Network Server,High
Somerset County Children and Youth Services,PA,Healthcare Provider,2251,2025-09-05,Hacking/IT Incident,Email,High
Cardiovascular Medicine Associates (doing business as MyCardiologist),FL,Healthcare Provider,2248,2025-10-06,Hacking/IT Incident,Email,High
St. John’s Riverside Hospital,NY,Healthcare Provider,2238,2025-11-14,Hacking/IT Incident,Email,High
"Brain & Eye Connection Vision Clinic, PC",OK,Healthcare Provider,2207,2024-11-01,Hacking/IT Incident,Network Server,High
44North,MI,Business Associate,2158,2026-02-16,Hacking/IT Incident,Desktop Computer,High
Citadel of Northbrook,IL,Healthcare Provider,2155,2024-11-25,Hacking/IT Incident,"Electronic Medical Record, Network Server",High
"Wee Care Pediatrics, LLC",UT,Healthcare Provider,2127,2026-02-14,Hacking/IT Incident,Network Server,High
"Jacobsen Construction Co., Inc. Health Plan",UT,Health Plan,2127,2024-09-20,Hacking/IT Incident,Network Server,High
"Mazzola Mardon, P.C.",NY,Business Associate,2123,2026-04-15,Hacking/IT Incident,Network Server,High
"Option Care Health, Inc.",IL,Healthcare Provider,2086,2026-02-20,Hacking/IT Incident,Email,High
"ABKSW PREFERRED HEALTH PARTNERS, PLLC d/b/a NORTH TEXAS PREFERRED HEALTH PARTNERS",TX,Healthcare Provider,2074,2026-01-08,Hacking/IT Incident,Network Server,High
Interim HealthCare of Lubbock,TX,Healthcare Provider,2071,2026-04-23,Hacking/IT Incident,Network Server,High
Urology Associates of Charleston,SC,Healthcare Provider,2060,2025-07-03,Hacking/IT Incident,Email,High
Amyris Incorporated Health and Welfare Plan,CA,Health Plan,2042,2026-03-17,Hacking/IT Incident,Network Server,High
Regency Oaks,FL,Healthcare Provider,2008,2025-07-11,Hacking/IT Incident,Email,High
Bloom Health Centers,MD,Healthcare Provider,1954,2024-02-01,Hacking/IT Incident,Email,High
PET Imaging of Dallas Northeast,TX,Healthcare Provider,1935,2025-06-27,Hacking/IT Incident,Email,High
Orange County Radiation Oncology Medical Group,CA,Healthcare Provider,1911,2025-06-27,Hacking/IT Incident,Email,High
"Option Care Health, Inc.",IL,Healthcare Provider,1891,2026-04-06,Hacking/IT Incident,Email,High
Brainard Surgery Center LLC,OH,Healthcare Provider,1820,2025-04-24,Hacking/IT Incident,Network Server,High
Pit River Health Service Inc.,CA,Healthcare Provider,1800,2026-01-06,Hacking/IT Incident,Network Server,High
Fenwick & West Group Health Plan,CA,Health Plan,1740,2026-03-24,Hacking/IT Incident,Network Server,High
K&E Advanced Dentisrty,OH,Healthcare Provider,1700,2025-07-07,Hacking/IT Incident,Email,High
Baylor Scott & White Texas Spine & Joint Hospital,TX,Healthcare Provider,1640,2025-03-14,Hacking/IT Incident,Email,High
Andover Eye Associates,MA,Healthcare Provider,1638,2025-12-31,Hacking/IT Incident,Email,High
Delta Medical Systems,WI,Business Associate,1574,2026-03-10,Hacking/IT Incident,Email,High
Schneider Regional Medical Center,null,Healthcare Provider,1570,2024-10-07,Hacking/IT Incident,Network Server,High
"Dolton Nursing & Rehab, LLC",IL,Healthcare Provider,1559,2024-11-18,Hacking/IT Incident,"Electronic Medical Record, Network Server",High
"HealthEquity, Inc.",UT,Business Associate,1549,2024-12-20,Hacking/IT Incident,Network Server,High
Fair Oaks Ortho P.C.,VA,Healthcare Provider,1544,2026-02-02,Hacking/IT Incident,Email,High
"Laurel Cancer Care, LLC",MS,Healthcare Provider,1541,2025-08-12,Hacking/IT Incident,Email,High
Community Dental,ME,Healthcare Provider,1523,2023-11-17,Hacking/IT Incident,Network Server,High
Builders FirstSource Flex Plan,TX,Health Plan,1514,2026-02-18,Hacking/IT Incident,Network Server,High
"Atlanta Perinatal Consultants, LLP",GA,Healthcare Provider,1508,2024-07-02,Hacking/IT Incident,Network Server,High
Apex Custom Software,TX,Business Associate,1500,2025-01-22,Hacking/IT Incident,Network Server,High
Marquette County Medical Care Facility,OH,Healthcare Provider,1499,2025-06-18,Hacking/IT Incident,Email,High
Bay Medical LLC,MD,Healthcare Provider,1483,2025-10-09,Hacking/IT Incident,Email,High
Benton County Health,OR,Healthcare Provider,1476,2026-01-16,Hacking/IT Incident,Network Server,High
Frilot L.L.C.,LA,Business Associate,1448,2024-08-01,Hacking/IT Incident,Network Server,High
"Holdrege Memorial Homes, Inc.",NE,Healthcare Provider,1446,2025-01-20,Hacking/IT Incident,Network Server,High
Fairbanks Urology,AK,Healthcare Provider,1446,2025-10-24,Hacking/IT Incident,Network Server,High
Navesink Rehab,NJ,Healthcare Provider,1428,2025-09-17,Hacking/IT Incident,Network Server,High
Superior Care Plus LLC d/b/a Supportive Home Health LLC,OH,Healthcare Provider,1415,2026-01-16,Hacking/IT Incident,Email,High
Methodist Homes of Alabama and Northwest Florida,AL,Healthcare Provider,1406,2026-01-06,Hacking/IT Incident,Email,High
School Employees' Benefit Trust,IN,Health Plan,1371,2024-07-05,Hacking/IT Incident,Network Server,High
Ideal Home Care,OK,Healthcare Provider,1331,2026-03-13,Hacking/IT Incident,Network Server,High
"BMG of Kansas, Inc.",KS,Health Plan,1327,2026-02-26,Hacking/IT Incident,Network Server,High
Southwest Urology,OH,Healthcare Provider,1310,2025-10-24,Hacking/IT Incident,Network Server,High
"PhyNet Dermatology, LLC",TN,Business Associate,1308,2025-07-29,Hacking/IT Incident,Email,High
"90 Degree Benefits, Inc. – St. Paul",WI,Business Associate,1268,2025-04-18,Hacking/IT Incident,Email,High
"Pines of Sarasota Healthcare, LLC",FL,Healthcare Provider,1258,2025-12-31,Hacking/IT Incident,Email,High
"True RCM, a Rapid Care Transcription, Inc., Company",MD,Business Associate,1247,2026-01-20,Hacking/IT Incident,Desktop Computer,High
Texas Center for Infectious Disease Associates,TX,Healthcare Provider,1236,2025-09-10,Hacking/IT Incident,Email,High
"REACH, Inc",AK,Healthcare Provider,1195,2025-10-27,Hacking/IT Incident,Email,High
Terrace of Hialeah,FL,Healthcare Provider,1177,2024-11-18,Hacking/IT Incident,Network Server,High
Valley Radiology,CA,Healthcare Provider,1166,2025-09-25,Hacking/IT Incident,Network Server,High
Healthcare In Action,CA,Healthcare Provider,1143,2026-03-30,Hacking/IT Incident,"Email, Network Server, Other",High
"Vail Summit Orthopaedics, LLC (“VSON”)",CO,Healthcare Provider,1138,2024-03-04,Hacking/IT Incident,Network Server,High
Consultants in Pain Medicine,TX,Healthcare Provider,1124,2025-02-16,Hacking/IT Incident,Network Server,High
Omaha Surgical Center,NE,Healthcare Provider,1110,2024-12-30,Hacking/IT Incident,Email,High
FedEx Corporation Group Health Plan,TN,Health Plan,1066,2025-12-01,Hacking/IT Incident,Network Server,High
HAP (Health Alliance Plan),MI,Health Plan,1059,2025-12-22,Hacking/IT Incident,Email,High
Skin Care Specialty Physicians,MD,Healthcare Provider,1038,2025-06-19,Hacking/IT Incident,Email,High
"Pope & Conner Consulting, Inc.",WI,Business Associate,1035,2024-05-15,Hacking/IT Incident,Email,High
"Keystone Alliance, Inc.",IL,Business Associate,1021,2025-11-26,Hacking/IT Incident,Email,High
